,Date,Day,counts,type,country
118,3/26/2014,4,86.0,Cases,Guinea
119,3/25/2014,3,86.0,Cases,Guinea
120,3/24/2014,2,86.0,Cases,Guinea
121,3/22/2014,0,49.0,Cases,Guinea
122,1/5/2015,289,,Cases,Liberia
123,1/4/2015,288,,Cases,Liberia
124,1/3/2015,287,8166.0,Cases,Liberia
125,1/2/2015,286,8157.0,Cases,Liberia
126,12/31/2014,284,8115.0,Cases,Liberia
127,12/28/2014,281,8018.0,Cases,Liberia
128,12/27/2014,280,,Cases,Liberia
129,12/24/2014,277,7977.0,Cases,Liberia
130,12/21/2014,273,,Cases,Liberia
131,12/20/2014,272,7862.0,Cases,Liberia
132,12/18/2014,271,7830.0,Cases,Liberia
133,12/14/2014,267,,Cases,Liberia
134,12/9/2014,262,7797.0,Cases,Liberia
135,12/7/2014,260,,Cases,Liberia
136,12/3/2014,256,7719.0,Cases,Liberia
137,11/30/2014,253,,Cases,Liberia
138,11/28/2014,251,7635.0,Cases,Liberia
139,11/23/2014,246,,Cases,Liberia
140,11/22/2014,245,7168.0,Cases,Liberia
141,11/18/2014,241,7082.0,Cases,Liberia
142,11/16/2014,239,,Cases,Liberia
143,11/15/2014,238,7069.0,Cases,Liberia
144,11/11/2014,234,,Cases,Liberia
145,11/10/2014,233,6878.0,Cases,Liberia
146,11/9/2014,232,,Cases,Liberia
147,11/8/2014,231,6822.0,Cases,Liberia
148,11/4/2014,227,6619.0,Cases,Liberia
149,11/3/2014,226,,Cases,Liberia
150,11/2/2014,225,,Cases,Liberia
151,10/31/2014,222,6525.0,Cases,Liberia
152,10/29/2014,220,,Cases,Liberia
153,10/27/2014,218,,Cases,Liberia
154,10/25/2014,216,6535.0,Cases,Liberia
155,10/22/2014,214,,Cases,Liberia
156,10/21/2014,213,,Cases,Liberia
157,10/19/2014,211,,Cases,Liberia
158,10/18/2014,210,4665.0,Cases,Liberia
159,10/14/2014,206,,Cases,Liberia
160,10/13/2014,205,4262.0,Cases,Liberia
161,10/12/2014,204,,Cases,Liberia
162,10/11/2014,203,4249.0,Cases,Liberia
163,10/8/2014,200,,Cases,Liberia
164,10/7/2014,199,4076.0,Cases,Liberia
165,10/5/2014,197,,Cases,Liberia
166,10/4/2014,196,3924.0,Cases,Liberia
167,10/1/2014,193,3834.0,Cases,Liberia
168,9/28/2014,190,3696.0,Cases,Liberia
169,9/23/2014,185,3458.0,Cases,Liberia
170,9/21/2014,183,3280.0,Cases,Liberia
171,9/20/2014,182,,Cases,Liberia
172,9/19/2014,181,,Cases,Liberia
173,9/17/2014,179,3022.0,Cases,Liberia
174,9/14/2014,176,2710.0,Cases,Liberia
175,9/13/2014,175,,Cases,Liberia
176,9/10/2014,172,,Cases,Liberia
177,9/9/2014,171,2407.0,Cases,Liberia
178,9/7/2014,169,2081.0,Cases,Liberia
179,9/5/2014,167,1871.0,Cases,Liberia
180,8/31/2014,162,1698.0,Cases,Liberia
181,8/26/2014,157,1378.0,Cases,Liberia
182,8/20/2014,151,1082.0,Cases,Liberia
183,8/18/2014,149,972.0,Cases,Liberia
184,8/16/2014,147,834.0,Cases,Liberia
185,8/13/2014,144,786.0,Cases,Liberia
186,8/11/2014,142,670.0,Cases,Liberia
187,8/9/2014,140,599.0,Cases,Liberia
188,8/6/2014,137,554.0,Cases,Liberia
189,8/4/2014,135,516.0,Cases,Liberia
190,8/1/2014,132,468.0,Cases,Liberia
191,7/30/2014,129,391.0,Cases,Liberia
192,7/27/2014,126,329.0,Cases,Liberia
193,7/23/2014,123,249.0,Cases,Liberia
194,7/20/2014,120,224.0,Cases,Liberia
195,7/17/2014,117,196.0,Cases,Liberia
196,7/14/2014,114,174.0,Cases,Liberia
197,7/12/2014,112,172.0,Cases,Liberia
198,7/8/2014,108,142.0,Cases,Liberia
199,7/6/2014,106,131.0,Cases,Liberia
200,7/2/2014,102,115.0,Cases,Liberia
201,6/30/2014,100,107.0,Cases,Liberia
202,6/22/2014,92,51.0,Cases,Liberia
203,6/20/2014,90,,Cases,Liberia
204,6/19/2014,89,41.0,Cases,Liberia
205,6/18/2014,88,,Cases,Liberia
206,6/17/2014,87,,Cases,Liberia
207,6/16/2014,86,33.0,Cases,Liberia
208,6/10/2014,80,13.0,Cases,Liberia
209,6/5/2014,75,13.0,Cases,Liberia
210,6/3/2014,73,13.0,Cases,Liberia
211,6/1/2014,71,13.0,Cases,Liberia
212,5/28/2014,67,13.0,Cases,Liberia
213,5/27/2014,66,12.0,Cases,Liberia
214,5/23/2014,62,12.0,Cases,Liberia
215,5/12/2014,51,12.0,Cases,Liberia
216,5/10/2014,49,12.0,Cases,Liberia
217,5/7/2014,46,13.0,Cases,Liberia
218,5/5/2014,44,13.0,Cases,Liberia
219,5/3/2014,42,13.0,Cases,Liberia
220,5/1/2014,40,13.0,Cases,Liberia
221,4/26/2014,35,,Cases,Liberia
222,4/24/2014,33,35.0,Cases,Liberia
223,4/23/2014,32,,Cases,Liberia
224,4/22/2014,31,,Cases,Liberia
225,4/21/2014,30,34.0,Cases,Liberia
226,4/20/2014,29,,Cases,Liberia
227,4/17/2014,26,27.0,Cases,Liberia
228,4/16/2014,25,27.0,Cases,Liberia
229,4/15/2014,24,,Cases,Liberia
230,4/14/2014,23,,Cases,Liberia
231,4/11/2014,20,26.0,Cases,Liberia
232,4/9/2014,18,25.0,Cases,Liberia
233,4/7/2014,16,21.0,Cases,Liberia
234,4/4/2014,13,18.0,Cases,Liberia
235,4/1/2014,10,8.0,Cases,Liberia
236,3/31/2014,9,8.0,Cases,Liberia
237,3/29/2014,7,7.0,Cases,Liberia
238,3/28/2014,6,3.0,Cases,Liberia
239,3/27/2014,5,8.0,Cases,Liberia
240,3/26/2014,4,,Cases,Liberia
241,3/25/2014,3,,Cases,Liberia
242,3/24/2014,2,,Cases,Liberia
243,3/22/2014,0,,Cases,Liberia
244,1/5/2015,289,10030.0,Cases,SierraLeone
245,1/4/2015,288,9780.0,Cases,SierraLeone
246,1/3/2015,287,9722.0,Cases,SierraLeone
247,1/2/2015,286,,Cases,SierraLeone
248,12/31/2014,284,9633.0,Cases,SierraLeone
249,12/28/2014,281,9446.0,Cases,SierraLeone
250,12/27/2014,280,9409.0,Cases,SierraLeone
251,12/24/2014,277,9203.0,Cases,SierraLeone
252,12/21/2014,273,9004.0,Cases,SierraLeone
253,12/20/2014,272,8939.0,Cases,SierraLeone
254,12/18/2014,271,,Cases,SierraLeone
255,12/14/2014,267,8356.0,Cases,SierraLeone
256,12/9/2014,262,,Cases,SierraLeone
257,12/7/2014,260,7897.0,Cases,SierraLeone
258,12/3/2014,256,,Cases,SierraLeone
259,11/30/2014,253,7312.0,Cases,SierraLeone
260,11/28/2014,251,,Cases,SierraLeone
261,11/23/2014,246,6599.0,Cases,SierraLeone
262,11/22/2014,245,,Cases,SierraLeone
263,11/18/2014,241,6190.0,Cases,SierraLeone
264,11/16/2014,239,6073.0,Cases,SierraLeone
265,11/15/2014,238,,Cases,SierraLeone
266,11/11/2014,234,5586.0,Cases,SierraLeone
267,11/10/2014,233,,Cases,SierraLeone
268,11/9/2014,232,5368.0,Cases,SierraLeone
269,11/8/2014,231,,Cases,SierraLeone
270,11/4/2014,227,4862.0,Cases,SierraLeone
271,11/3/2014,226,,Cases,SierraLeone
272,11/2/2014,225,4759.0,Cases,SierraLeone
273,10/31/2014,222,,Cases,SierraLeone
274,10/29/2014,220,5338.0,Cases,SierraLeone
275,10/27/2014,218,5235.0,Cases,SierraLeone
276,10/25/2014,216,,Cases,SierraLeone
277,10/22/2014,214,3896.0,Cases,SierraLeone
278,10/21/2014,213,,Cases,SierraLeone
279,10/19/2014,211,3706.0,Cases,SierraLeone
280,10/18/2014,210,,Cases,SierraLeone
281,10/14/2014,206,3410.0,Cases,SierraLeone
282,10/13/2014,205,,Cases,SierraLeone
283,10/12/2014,204,3252.0,Cases,SierraLeone
284,10/11/2014,203,,Cases,SierraLeone
285,10/8/2014,200,2950.0,Cases,SierraLeone
286,10/7/2014,199,,Cases,SierraLeone
287,10/5/2014,197,2789.0,Cases,SierraLeone
288,10/4/2014,196,,Cases,SierraLeone
289,10/1/2014,193,2437.0,Cases,SierraLeone
290,9/28/2014,190,2304.0,Cases,SierraLeone
291,9/23/2014,185,2021.0,Cases,SierraLeone
292,9/21/2014,183,1940.0,Cases,SierraLeone
293,9/20/2014,182,1813.0,Cases,SierraLeone
294,9/19/2014,181,,Cases,SierraLeone
295,9/17/2014,179,,Cases,SierraLeone
296,9/14/2014,176,1673.0,Cases,SierraLeone
297,9/13/2014,175,1620.0,Cases,SierraLeone
298,9/10/2014,172,1478.0,Cases,SierraLeone
299,9/9/2014,171,,Cases,SierraLeone
